,"test_time,model,Feature Extraction"
0,"0.35,LeNet,centroid"
0,"0.17,Logistic,centroid"
0,"2.1,ResNet,centroid"
0,"0.16,SVM,centroid"
0,"2.25,VGG,centroid"
0,"0.3,LeNet,chroma"
0,"0.19,Logistic,chroma"
0,"2.32,ResNet,chroma"
0,"0.19,SVM,chroma"
0,"2.08,VGG,chroma"
0,"0.31,LeNet,mel"
0,"0.2,Logistic,mel"
0,"2.18,ResNet,mel"
0,"0.17,SVM,mel"
0,"2.91,VGG,mel"
0,"0.4,LeNet,mfcc"
0,"0.19,Logistic,mfcc"
0,"12.21,ResNet,mfcc"
0,"0.18,SVM,mfcc"
0,"22.48,VGG,mfcc"
0,"0.27,LeNet,rolloff"
0,"0.2,Logistic,rolloff"
0,"1.98,ResNet,rolloff"
0,"0.17,SVM,rolloff"
0,"1.68,VGG,rolloff"
0,"0.31,LeNet,zcr"
0,"0.17,Logistic,zcr"
0,"1.99,ResNet,zcr"
0,"0.19,SVM,zcr"
0,"3.2,VGG,zcr"
